LoanID,ClienteID,Fecha,SaldoContable,CentroCosto
L00129,C03061,2025-11-01,95383,Sevilla
L00130,C02694,2025-11-01,158922,Madrid
L00131,C04892,2025-11-01,102334,Bilbao
L00132,C03628,2025-11-01,52694,Madrid
L00133,C01364,2025-11-01,184216,Valencia
L00134,C01982,2025-11-01,190800,Madrid
L00135,C01664,2025-11-01,198025,Bilbao
L00136,C01530,2025-11-01,294453,Barcelona
L00137,C02039,2025-11-01,175977,Valencia
L00138,C03303,2025-11-01,32618,Madrid
L00139,C02238,2025-11-01,221872,Barcelona
L00140,C01307,2025-11-01,69863,Valencia
L00141,C04030,2025-11-01,111284,Bilbao
L00142,C02676,2025-11-01,89829,Bilbao
L00143,C01283,2025-11-01,241593,Sevilla
L00144,C00710,2025-11-01,5193,Sevilla
L00145,C04745,2025-11-01,183682,Bilbao
L00146,C04414,2025-11-01,76657,Madrid
L00147,C03749,2025-11-01,160020,Madrid
L00148,C04780,2025-11-01,269884,Madrid
L00149,C00664,2025-11-01,37948,Barcelona
L00150,C01999,2025-11-01,26821,Bilbao
L00151,C03446,2025-11-01,94399,Valencia
L00152,C03744,2025-11-01,146549,Valencia
L00153,C01496,2025-11-01,77541,Sevilla
L00154,C03305,2025-11-01,39863,Bilbao
L00155,C03764,2025-11-01,142227,Valencia
L00156,C01854,2025-11-01,222477,Sevilla
L00157,C04660,2025-11-01,151911,Madrid
L00158,C01292,2025-11-01,94684,Barcelona
L00159,C03582,2025-11-01,151150,Barcelona
L00160,C03458,2025-11-01,46273,Barcelona
L00161,C01637,2025-11-01,162952,Madrid
L00162,C03697,2025-11-01,132922,Sevilla
L00163,C03000,2025-11-01,299205,Barcelona
L00164,C03153,2025-11-01,294111,Barcelona
L00165,C00699,2025-11-01,74288,Madrid
L00166,C02161,2025-11-01,213288,Bilbao
L00167,C04098,2025-11-01,114293,Valencia
L00168,C04738,2025-11-01,178947,Madrid
L00169,C00855,2025-11-01,33287,Madrid
L00170,C03475,2025-11-01,219900,Bilbao
L00171,C01708,2025-11-01,128617,Bilbao
L00172,C02778,2025-11-01,86219,Barcelona
L00173,C01734,2025-11-01,260232,Valencia
L00174,C04932,2025-11-01,114632,Bilbao
L00175,C03511,2025-11-01,66452,Valencia
L00176,C00203,2025-11-01,92415,Bilbao
L00177,C03256,2025-11-01,276625,Barcelona
L00178,C04219,2025-11-01,125482,Bilbao
L00179,C04497,2025-11-01,51502,Barcelona
L00180,C00767,2025-11-01,152162,Valencia
L00181,C04390,2025-11-01,109316,Madrid
L00182,C02328,2025-11-01,188006,Valencia
L00183,C02932,2025-11-01,286273,Sevilla
L00184,C00198,2025-11-01,14796,Barcelona
L00185,C01931,2025-11-01,137370,Barcelona
L00186,C03583,2025-11-01,185030,Barcelona
L00187,C00609,2025-11-01,40484,Bilbao
L00188,C03273,2025-11-01,260290,Barcelona
L00189,C01148,2025-11-01,115488,Madrid
L00190,C04283,2025-11-01,193965,Madrid
L00191,C03398,2025-11-01,185434,Sevilla
L00192,C02512,2025-11-01,132797,Barcelona
L00193,C01795,2025-11-01,118539,Madrid
L00194,C00660,2025-11-01,31857,Barcelona
L00195,C02812,2025-11-01,58376,Bilbao
L00196,C01370,2025-11-01,7628,Bilbao
L00197,C01987,2025-11-01,235487,Madrid
L00198,C00147,2025-11-01,117183,Madrid
L00199,C03220,2025-11-01,236166,Madrid
L00200,C02912,2025-11-01,122869,Sevilla
L00201,C01735,2025-11-01,150095,Madrid
L00202,C01844,2025-11-01,286179,Madrid
L00203,C00489,2025-11-01,90835,Madrid
L00204,C02977,2025-11-01,118153,Bilbao
L00205,C01960,2025-11-01,246941,Valencia
L00206,C02386,2025-11-01,208064,Valencia
L00207,C02920,2025-11-01,170598,Sevilla
L00208,C04737,2025-11-01,239840,Valencia
L00209,C01803,2025-11-01,80762,Valencia
L00210,C04062,2025-11-01,131856,Madrid
L00211,C03370,2025-11-01,112543,Valencia
L00212,C00263,2025-11-01,68100,Sevilla
L00213,C00624,2025-11-01,20796,Valencia
L00214,C01017,2025-11-01,130691,Madrid
L00215,C03644,2025-11-01,221192,Madrid
L00216,C04977,2025-11-01,288879,Bilbao
L00217,C02050,2025-11-01,164091,Valencia
L00218,C03724,2025-11-01,205973,Valencia
L00219,C04549,2025-11-01,8008,Valencia
L00220,C03109,2025-11-01,123213,Madrid
L00221,C04091,2025-11-01,294448,Madrid
L00222,C02057,2025-11-01,296759,Barcelona
L00223,C03171,2025-11-01,210919,Barcelona
L00224,C01683,2025-11-01,30792,Sevilla
L00225,C02256,2025-11-01,77183,Madrid
L00226,C01155,2025-11-01,40075,Madrid
L00227,C04500,2025-11-01,159522,Madrid
L00228,C03192,2025-11-01,129496,Barcelona
L00229,C01697,2025-11-01,229238,Madrid
L00230,C03992,2025-11-01,289500,Madrid
L00231,C04724,2025-11-01,17905,Madrid
L00232,C04683,2025-11-01,205669,Madrid
L00233,C01649,2025-11-01,143139,Barcelona
L00234,C01446,2025-11-01,18662,Barcelona
L00235,C04200,2025-11-01,166668,Barcelona
L00236,C03924,2025-11-01,80386,Madrid
L00237,C00254,2025-11-01,63601,Barcelona
L00238,C03184,2025-11-01,302116,Sevilla
L00239,C02558,2025-11-01,213560,Madrid
L00240,C00099,2025-11-01,270489,Bilbao
L00241,C02201,2025-11-01,267431,Barcelona
L00242,C02962,2025-11-01,236901,Madrid
L00243,C04974,2025-11-01,234574,Madrid
L00244,C04434,2025-11-01,187943,Madrid
L00245,C03778,2025-11-01,133428,Valencia
L00246,C02870,2025-11-01,204750,Barcelona
L00247,C03235,2025-11-01,276562,Sevilla
L00248,C03792,2025-11-01,162112,Valencia
L00249,C00957,2025-11-01,101148,Barcelona
L00250,C04068,2025-11-01,210642,Valencia
L00251,C00161,2025-11-01,10878,Valencia
L00252,C04494,2025-11-01,207448,Madrid
L00253,C01301,2025-11-01,304241,Madrid
L00254,C04912,2025-11-01,200494,Barcelona
L00255,C03988,2025-11-01,263407,Madrid
L00256,C01528,2025-11-01,223149,Barcelona
L00257,C01219,2025-11-01,29553,Valencia
L00258,C04497,2025-11-01,85271,Barcelona
L00259,C04736,2025-11-01,119884,Madrid
L00260,C03105,2025-11-01,209112,Madrid
L00261,C02736,2025-11-01,134989,Madrid
L00262,C04556,2025-11-01,129596,Madrid
L00263,C00955,2025-11-01,185193,Barcelona
L00264,C04566,2025-11-01,205726,Barcelona
L00265,C03447,2025-11-01,268747,Madrid
L00266,C01046,2025-11-01,18532,Madrid
L00267,C01694,2025-11-01,294956,Barcelona
L00268,C03437,2025-11-01,148268,Madrid
L00269,C00563,2025-11-01,265541,Madrid
L00270,C02486,2025-11-01,244398,Barcelona
L00271,C03355,2025-11-01,2697,Madrid
L00272,C00226,2025-11-01,90483,Sevilla
L00273,C04894,2025-11-01,122639,Valencia
L00274,C00960,2025-11-01,117574,Barcelona
L00275,C04549,2025-11-01,136911,Madrid
L00276,C03068,2025-11-01,51752,Madrid
L00277,C00816,2025-11-01,149352,Madrid
L00278,C04755,2025-11-01,211572,Madrid
L00279,C04643,2025-11-01,272647,Barcelona
L00280,C03121,2025-11-01,78077,Madrid
L00281,C00017,2025-11-01,165437,Sevilla
L00282,C01244,2025-11-01,237311,Bilbao
L00283,C02206,2025-11-01,279529,Valencia
L00284,C02525,2025-11-01,198972,Sevilla
L00285,C01070,2025-11-01,100374,Madrid
L00286,C03445,2025-11-01,190914,Valencia
L00287,C02566,2025-11-01,42971,Madrid
L00288,C01061,2025-11-01,270701,Bilbao
L00289,C02328,2025-11-01,215223,Valencia
L00290,C03421,2025-11-01,16352,Barcelona
L00291,C00302,2025-11-01,221082,Sevilla
L00292,C04277,2025-11-01,274169,Madrid
L00293,C00607,2025-11-01,250721,Barcelona
L00294,C03171,2025-11-01,59510,Sevilla
L00295,C00700,2025-11-01,158777,Madrid
L00296,C01140,2025-11-01,5286,Valencia
L00297,C00191,2025-11-01,37896,Barcelona
L00298,C02301,2025-11-01,46623,Barcelona
L00299,C00981,2025-11-01,35585,Valencia
L00300,C02976,2025-11-01,283985,Bilbao
L00301,C01185,2025-11-01,60759,Madrid
L00302,C03328,2025-11-01,46220,Madrid
L00303,C03395,2025-11-01,41866,Barcelona
L00304,C00128,2025-11-01,63420,Valencia
L00305,C02066,2025-11-01,150608,Barcelona
L00306,C01817,2025-11-01,147021,Sevilla
L00307,C00570,2025-11-01,165837,Sevilla
L00308,C01896,2025-11-01,31254,Barcelona
L00309,C02734,2025-11-01,171105,Madrid
L00310,C03864,2025-11-01,272877,Madrid
L00311,C04722,2025-11-01,258856,Barcelona
L00312,C04015,2025-11-01,143946,Bilbao
L00313,C02902,2025-11-01,251591,Valencia
L00314,C01687,2025-11-01,18958,Barcelona
L00315,C03010,2025-11-01,9385,Valencia
L00316,C00155,2025-11-01,73650,Madrid
L00317,C02538,2025-11-01,30791,Madrid
L00318,C01410,2025-11-01,149811,Barcelona
L00319,C04058,2025-11-01,127380,Bilbao
L00320,C00785,2025-11-01,44463,Sevilla
L00321,C03176,2025-11-01,263861,Valencia
L00322,C04342,2025-11-01,241627,Barcelona
L00323,C02807,2025-11-01,37458,Valencia
L00324,C00538,2025-11-01,82982,Barcelona
L00325,C01842,2025-11-01,233478,Valencia
L00326,C02456,2025-11-01,24165,Barcelona
L00327,C00525,2025-11-01,275690,Madrid
L00328,C02951,2025-11-01,155551,Madrid
L00329,C04132,2025-11-01,259113,Valencia
L00330,C04781,2025-11-01,233312,Valencia
L00331,C04116,2025-11-01,162775,Madrid
L00332,C02369,2025-11-01,182975,Sevilla
L00333,C03848,2025-11-01,15996,Sevilla
L00334,C04496,2025-11-01,60802,Valencia
L00335,C02702,2025-11-01,120655,Valencia
L00336,C00972,2025-11-01,27035,Madrid
L00337,C01167,2025-11-01,162188,Bilbao
L00338,C04930,2025-11-01,80310,Madrid
L00339,C02775,2025-11-01,163629,Madrid
L00340,C01983,2025-11-01,86801,Valencia
L00341,C00854,2025-11-01,137659,Barcelona
L00342,C04147,2025-11-01,104575,Bilbao
L00343,C03737,2025-11-01,57142,Barcelona
L00344,C03770,2025-11-01,265871,Madrid
L00345,C00575,2025-11-01,89879,Bilbao
L00346,C03262,2025-11-01,284374,Barcelona
L00347,C01149,2025-11-01,198698,Barcelona
L00348,C01716,2025-11-01,13216,Barcelona
L00349,C04778,2025-11-01,184827,Sevilla
L00350,C04934,2025-11-01,279026,Madrid
L00351,C03855,2025-11-01,236303,Madrid
L00352,C02492,2025-11-01,280016,Barcelona
L00353,C02661,2025-11-01,61041,Bilbao
L00354,C03125,2025-11-01,27525,Madrid
L00355,C03052,2025-11-01,23901,Madrid
L00356,C00005,2025-11-01,69660,Valencia
L00357,C04870,2025-11-01,25900,Sevilla
L00358,C00877,2025-11-01,172895,Barcelona
L00359,C00992,2025-11-01,156188,Sevilla
L00360,C04143,2025-11-01,189862,Madrid
L00361,C04365,2025-11-01,93922,Barcelona
L00362,C04466,2025-11-01,29105,Barcelona
L00363,C00636,2025-11-01,101797,Barcelona
L00364,C01694,2025-11-01,265644,Madrid
L00365,C01683,2025-11-01,217523,Barcelona
L00366,C04753,2025-11-01,264122,Madrid
L00367,C00120,2025-11-01,173550,Valencia
L00368,C00831,2025-11-01,159882,Valencia
L00369,C03676,2025-11-01,160869,Barcelona
L00370,C01370,2025-11-01,193226,Barcelona
L00371,C00741,2025-11-01,33389,Barcelona
L00372,C00117,2025-11-01,61837,Bilbao
L00373,C02839,2025-11-01,211687,Valencia
L00374,C01151,2025-11-01,62808,Valencia
L00375,C01932,2025-11-01,218932,Madrid
L00376,C01013,2025-11-01,229251,Madrid
L00377,C01665,2025-11-01,248712,Madrid
L00378,C01082,2025-11-01,151205,Barcelona
L00379,C04730,2025-11-01,284211,Valencia
L00380,C00513,2025-11-01,94030,Sevilla
L00381,C02850,2025-11-01,163638,Valencia
L00382,C00560,2025-11-01,25880,Bilbao
L00383,C03673,2025-11-01,65976,Madrid
L00384,C04584,2025-11-01,119636,Sevilla
L00385,C04993,2025-11-01,28280,Valencia
L00386,C03344,2025-11-01,162725,Madrid
L00387,C04071,2025-11-01,171890,Valencia
L00388,C04800,2025-11-01,203675,Barcelona
L00389,C01471,2025-11-01,63087,Barcelona
L00390,C00581,2025-11-01,66742,Madrid
L00391,C02295,2025-11-01,157411,Barcelona
L00392,C03148,2025-11-01,111771,Madrid
L00393,C04250,2025-11-01,100429,Madrid
L00394,C01680,2025-11-01,10336,Sevilla
L00395,C03507,2025-11-01,177882,Valencia
L00396,C02745,2025-11-01,31018,Barcelona
L00397,C03357,2025-11-01,136832,Barcelona
L00398,C04046,2025-11-01,169155,Sevilla
L00399,C01244,2025-11-01,21565,Barcelona
L00400,C03119,2025-11-01,144986,Barcelona
L00401,C02142,2025-11-01,268583,Sevilla
L00402,C03060,2025-11-01,26304,Madrid
L00403,C04549,2025-11-01,171271,Valencia
L00404,C02960,2025-11-01,168569,Barcelona
L00405,C02266,2025-11-01,171267,Barcelona
L00406,C02480,2025-11-01,158082,Sevilla
L00407,C04647,2025-11-01,140317,Bilbao
L00408,C01636,2025-11-01,72475,Sevilla
L00409,C01758,2025-11-01,272202,Madrid
L00410,C04453,2025-11-01,109201,Madrid
L00411,C02071,2025-11-01,259432,Barcelona
L00412,C02850,2025-11-01,2394,Valencia
L00413,C03252,2025-11-01,233454,Barcelona
L00414,C03731,2025-11-01,9722,Bilbao
L00415,C02490,2025-11-01,14635,Madrid
L00416,C01632,2025-11-01,17154,Madrid
L00417,C02817,2025-11-01,257849,Madrid
L00418,C01016,2025-11-01,246337,Valencia
L00419,C01349,2025-11-01,152409,Barcelona
L00420,C04612,2025-11-01,231385,Madrid
L00421,C03088,2025-11-01,138431,Sevilla
L00422,C02840,2025-11-01,151401,Barcelona
L00423,C00336,2025-11-01,261046,Madrid
L00424,C04593,2025-11-01,56661,Madrid
L00425,C00896,2025-11-01,242200,Bilbao
L00426,C03547,2025-11-01,78253,Bilbao
L00427,C00852,2025-11-01,233049,Madrid
L00428,C01688,2025-11-01,34312,Madrid
L00429,C01932,2025-11-01,118619,Valencia
L00430,C03747,2025-11-01,52761,Valencia
L00431,C02428,2025-11-01,301688,Barcelona
L00432,C01569,2025-11-01,43378,Valencia
L00433,C04001,2025-11-01,280750,Valencia
L00434,C02739,2025-11-01,221980,Bilbao
L00435,C03499,2025-11-01,242006,Valencia
L00436,C03914,2025-11-01,135555,Madrid
L00437,C01067,2025-11-01,30614,Valencia
L00438,C04381,2025-11-01,62455,Madrid
L00439,C02445,2025-11-01,125796,Barcelona
L00440,C04108,2025-11-01,220851,Barcelona
L00441,C03374,2025-11-01,212386,Sevilla
L00442,C03970,2025-11-01,196507,Madrid
L00443,C02547,2025-11-01,19927,Sevilla
L00444,C00754,2025-11-01,255579,Valencia
L00445,C02083,2025-11-01,18310,Madrid
L00446,C02775,2025-11-01,65404,Madrid
L00447,C02897,2025-11-01,99857,Madrid
L00448,C04186,2025-11-01,27328,Sevilla
L00449,C00776,2025-11-01,265434,Madrid
L00450,C01626,2025-11-01,219324,Madrid
L00451,C03070,2025-11-01,121797,Madrid
L00452,C00418,2025-11-01,205007,Valencia
L00453,C00115,2025-11-01,33778,Barcelona
L00454,C00617,2025-11-01,26809,Madrid
L00455,C03975,2025-11-01,216667,Bilbao
L00456,C03268,2025-11-01,121510,Sevilla
L00457,C00826,2025-11-01,119065,Barcelona
L00458,C01517,2025-11-01,240259,Barcelona
L00459,C03147,2025-11-01,280782,Barcelona
L00460,C00413,2025-11-01,43502,Sevilla
L00461,C00729,2025-11-01,116980,Barcelona
L00462,C03349,2025-11-01,283681,Barcelona
L00463,C02809,2025-11-01,216928,Barcelona
L00464,C00676,2025-11-01,268383,Sevilla
L00465,C03466,2025-11-01,103982,Valencia
L00466,C02505,2025-11-01,212629,Sevilla
L00467,C02968,2025-11-01,140036,Madrid
L00468,C02787,2025-11-01,252868,Bilbao
L00469,C01123,2025-11-01,65636,Sevilla
L00470,C04080,2025-11-01,260858,Sevilla
L00471,C01572,2025-11-01,68092,Madrid
L00472,C02144,2025-11-01,220913,Madrid
L00473,C01688,2025-11-01,106853,Bilbao
L00474,C04133,2025-11-01,103702,Bilbao
L00475,C03852,2025-11-01,116752,Madrid
L00476,C03441,2025-11-01,19538,Barcelona
L00477,C03767,2025-11-01,110226,Madrid
L00478,C02327,2025-11-01,136756,Madrid
L00479,C02915,2025-11-01,143120,Madrid
L00480,C04969,2025-11-01,137906,Madrid
L00481,C03953,2025-11-01,80801,Valencia
L00482,C00596,2025-11-01,121413,Madrid
L00483,C00729,2025-11-01,295637,Bilbao
L00484,C01366,2025-11-01,278840,Barcelona
L00485,C04493,2025-11-01,86075,Barcelona
L00486,C00699,2025-11-01,175224,Bilbao
L00487,C00396,2025-11-01,99155,Valencia
L00488,C04172,2025-11-01,236364,Madrid
L00489,C04361,2025-11-01,13846,Barcelona
L00490,C02503,2025-11-01,107207,Barcelona
L00491,C01820,2025-11-01,97733,Sevilla
L00492,C00718,2025-11-01,201634,Valencia
L00493,C02783,2025-11-01,292540,Barcelona
L00494,C04947,2025-11-01,168710,Barcelona
L00495,C03578,2025-11-01,190332,Barcelona
L00496,C00144,2025-11-01,263518,Barcelona
L00497,C04981,2025-11-01,242601,Madrid
L00498,C03141,2025-11-01,59315,Bilbao
L00499,C04492,2025-11-01,62598,Valencia
L00500,C02939,2025-11-01,6887,Barcelona
L00501,C03637,2025-11-01,5840,Valencia
L00502,C03223,2025-11-01,14938,Madrid
L00503,C01168,2025-11-01,46017,Barcelona
L00504,C02617,2025-11-01,275393,Valencia
L00505,C01063,2025-11-01,34668,Barcelona
L00506,C02157,2025-11-01,57977,Barcelona
L00507,C02983,2025-11-01,174180,Barcelona
L00508,C03295,2025-11-01,140718,Sevilla
L00509,C04730,2025-11-01,182659,Sevilla
L00510,C01157,2025-11-01,206680,Sevilla
L00511,C00733,2025-11-01,151583,Madrid
L00512,C04331,2025-11-01,173807,Valencia
L00513,C04847,2025-11-01,63477,Sevilla
L00514,C00954,2025-11-01,280246,Valencia
L00515,C02540,2025-11-01,138967,Sevilla
L00516,C03325,2025-11-01,58706,Sevilla
L00517,C03302,2025-11-01,97493,Madrid
L00518,C01543,2025-11-01,129679,Barcelona
L00519,C01192,2025-11-01,60961,Valencia
L00520,C02994,2025-11-01,188111,Madrid
L00521,C02682,2025-11-01,25547,Bilbao
L00522,C01218,2025-11-01,248113,Madrid
L00523,C01541,2025-11-01,97066,Barcelona
L00524,C03237,2025-11-01,146609,Bilbao
L00525,C02387,2025-11-01,256851,Madrid
L00526,C03720,2025-11-01,280945,Barcelona
L00527,C01389,2025-11-01,245560,Barcelona
L00528,C01857,2025-11-01,194726,Sevilla
L00529,C01366,2025-11-01,121678,Barcelona
L00530,C00500,2025-11-01,223232,Madrid
L00531,C01681,2025-11-01,51436,Bilbao
L00532,C00511,2025-11-01,152497,Barcelona
L00533,C04313,2025-11-01,95223,Valencia
L00534,C01325,2025-11-01,178632,Madrid
L00535,C01156,2025-11-01,82270,Madrid
L00536,C01828,2025-11-01,293892,Sevilla
L00537,C03142,2025-11-01,132467,Madrid
L00538,C03487,2025-11-01,71025,Barcelona
L00539,C01811,2025-11-01,76758,Sevilla
L00540,C02924,2025-11-01,36140,Barcelona
L00541,C02215,2025-11-01,155709,Valencia
L00542,C04187,2025-11-01,268698,Madrid
L00543,C00714,2025-11-01,158682,Valencia
L00544,C03603,2025-11-01,280439,Madrid
L00545,C04135,2025-11-01,173561,Sevilla
L00546,C03523,2025-11-01,16495,Valencia
L00547,C04269,2025-11-01,28780,Valencia
L00548,C04749,2025-11-01,298904,Madrid
L00549,C04850,2025-11-01,260619,Barcelona
L00550,C01244,2025-11-01,286884,Sevilla
L00551,C03710,2025-11-01,113392,Bilbao
L00552,C01082,2025-11-01,107279,Madrid
L00553,C00456,2025-11-01,146920,Sevilla
L00554,C04925,2025-11-01,33291,Madrid
L00555,C00895,2025-11-01,126368,Barcelona
L00556,C01385,2025-11-01,88156,Bilbao
L00557,C01959,2025-11-01,276828,Bilbao
L00558,C03073,2025-11-01,156221,Madrid
L00559,C01997,2025-11-01,31468,Madrid
L00560,C04286,2025-11-01,258149,Madrid
L00561,C00505,2025-11-01,219159,Barcelona
L00562,C01215,2025-11-01,150813,Madrid
L00563,C01532,2025-11-01,23172,Barcelona
L00564,C03441,2025-11-01,76062,Madrid
L00565,C00824,2025-11-01,172005,Madrid
L00566,C00929,2025-11-01,217619,Bilbao
L00567,C00134,2025-11-01,252864,Barcelona
L00568,C02106,2025-11-01,218358,Madrid
L00569,C03628,2025-11-01,119232,Valencia
L00570,C04781,2025-11-01,137805,Bilbao
L00571,C01853,2025-11-01,261797,Barcelona
L00572,C04911,2025-11-01,74901,Valencia
L00573,C04176,2025-11-01,100158,Bilbao
L00574,C02934,2025-11-01,186612,Barcelona
L00575,C03285,2025-11-01,76985,Valencia
L00576,C04299,2025-11-01,155137,Barcelona
L00577,C02812,2025-11-01,32936,Bilbao
L00578,C01251,2025-11-01,121419,Barcelona
L00579,C03513,2025-11-01,173058,Sevilla
L00580,C01257,2025-11-01,224643,Barcelona
L00581,C03377,2025-11-01,268103,Valencia
L00582,C03487,2025-11-01,61285,Barcelona
L00583,C03585,2025-11-01,110020,Bilbao
L00584,C01397,2025-11-01,93011,Valencia
L00585,C03638,2025-11-01,245864,Madrid
L00586,C03331,2025-11-01,41399,Madrid
L00587,C02704,2025-11-01,152278,Valencia
L00588,C00471,2025-11-01,138795,Madrid
L00589,C01354,2025-11-01,20652,Valencia
L00590,C02784,2025-11-01,110255,Barcelona
L00591,C02832,2025-11-01,175525,Barcelona
L00592,C00358,2025-11-01,212814,Madrid
L00593,C03020,2025-11-01,133889,Madrid
