LoanID,ClienteID,FechaDesembolso,ImporteAprobado,RiesgoAsignado
L00236,C03924,2025-01-01,78723,C
L00237,C00254,2024-08-16,66320,A
L00238,C03184,2025-09-22,299768,B
L00239,C02558,2025-03-15,212527,A
L00240,C00099,2025-11-20,270870,A
L00241,C02201,2025-06-15,262512,A
L00242,C02962,2025-03-25,233324,B
L00243,C04974,2024-02-05,234635,C
L00244,C04434,2025-02-25,186465,A
L00245,C03778,2025-09-11,137915,A
L00246,C02870,2024-07-07,201532,B
L00247,C03235,2024-06-26,280898,A
L00248,C03792,2025-08-30,164925,C
L00249,C00957,2024-11-10,100324,C
L00250,C04068,2024-01-20,209404,A
L00251,C00161,2025-11-06,9567,A
L00252,C04494,2025-01-16,210908,C
L00253,C01301,2025-08-31,299294,A
L00254,C04912,2024-05-22,202863,A
L00255,C03988,2024-03-02,261250,A
L00256,C01528,2024-08-29,219650,C
L00257,C01219,2024-08-25,32560,D
L00258,C04497,2024-05-10,89568,B
L00259,C04736,2025-08-27,118246,A
L00260,C03105,2025-08-25,213758,B
L00261,C02736,2025-10-06,139443,A
L00262,C04556,2024-05-02,129460,A
L00263,C00955,2025-03-15,190084,B
L00264,C04566,2024-12-07,209228,C
L00265,C03447,2025-02-22,270076,A
L00266,C01046,2025-09-21,14778,D
L00267,C01694,2025-03-30,290177,A
L00268,C03437,2024-07-16,146376,B
L00269,C00563,2024-10-08,262589,C
L00270,C02486,2024-01-01,248933,A
L00271,C03355,2025-12-23,7521,A
L00272,C00226,2024-11-27,89622,A
L00273,C04894,2024-07-30,122257,D
L00274,C00960,2024-03-27,119647,B
L00275,C04549,2025-10-26,136855,A
L00276,C03068,2025-11-29,47666,C
L00277,C00816,2024-03-01,152870,B
L00278,C04755,2024-04-04,210163,A
L00279,C04643,2025-07-06,268247,B
L00280,C03121,2024-05-26,75845,B
L00281,C00017,2024-09-02,170011,A
L00282,C01244,2025-10-05,240784,B
L00283,C02206,2024-10-23,279279,A
L00284,C02525,2024-05-02,198020,B
L00285,C01070,2025-10-16,102580,A
L00286,C03445,2025-11-24,195828,A
L00287,C02566,2025-12-04,44404,D
L00288,C01061,2025-03-31,269733,B
L00289,C02328,2025-02-02,211639,A
L00290,C03421,2025-12-19,14695,C
L00291,C00302,2024-08-18,217135,C
L00292,C04277,2025-06-17,272866,A
L00293,C00607,2025-02-05,247778,C
L00294,C03171,2025-08-14,54874,B
L00295,C00700,2024-05-09,154803,C
L00296,C01140,2024-10-18,5645,C
L00297,C00191,2024-10-02,37116,B
L00298,C02301,2025-01-10,45983,D
L00299,C00981,2024-02-24,34402,C
L00300,C02976,2025-07-31,281052,A
L00301,C01185,2024-01-26,65269,D
L00302,C03328,2025-03-16,47231,A
L00303,C03395,2024-07-15,43398,C
L00304,C00128,2025-10-03,67372,C
L00305,C02066,2024-08-30,155410,B
L00306,C01817,2025-12-24,143459,A
L00307,C00570,2024-07-08,162247,D
L00308,C01896,2025-07-21,35795,A
L00309,C02734,2025-07-20,173501,A
L00310,C03864,2024-10-02,270945,B
L00311,C04722,2025-02-12,256393,A
L00312,C04015,2024-12-05,143485,C
L00313,C02902,2024-06-01,251923,A
L00314,C01687,2025-07-18,22665,D
L00315,C03010,2025-02-01,13187,D
L00316,C00155,2025-03-19,69989,B
L00317,C02538,2025-09-14,30784,B
L00318,C01410,2025-03-02,149877,B
L00319,C04058,2025-05-01,125451,A
L00320,C00785,2024-07-22,47186,A
L00321,C03176,2024-04-21,258940,C
L00322,C04342,2024-11-20,240354,B
L00323,C02807,2024-09-14,33093,C
L00324,C00538,2025-06-11,79625,B
L00325,C01842,2024-12-15,231062,A
L00326,C02456,2025-11-08,27474,A
L00327,C00525,2025-03-10,275298,A
L00328,C02951,2025-03-01,158136,C
L00329,C04132,2024-10-06,257271,C
L00330,C04781,2025-01-05,229494,C
L00331,C04116,2025-10-31,165470,C
L00332,C02369,2024-09-05,179941,A
L00333,C03848,2024-06-29,14646,A
L00334,C04496,2025-12-03,64671,A
L00335,C02702,2025-10-12,121700,A
L00336,C00972,2024-03-18,30391,A
L00337,C01167,2024-12-01,164894,A
L00338,C04930,2024-02-19,80048,C
L00339,C02775,2024-03-25,165412,B
L00340,C01983,2025-11-25,86605,A
L00341,C00854,2025-11-25,140574,B
L00342,C04147,2024-01-04,102772,A
L00343,C03737,2024-11-12,53020,B
L00344,C03770,2024-04-20,266655,A
L00345,C00575,2024-11-29,94543,D
L00346,C03262,2024-05-12,288115,A
L00347,C01149,2025-09-03,194448,C
L00348,C01716,2025-11-14,11037,B
L00349,C04778,2024-04-28,186379,B
L00350,C04934,2024-12-15,281610,D
L00351,C03855,2025-11-17,235372,A
L00352,C02492,2025-06-25,276771,A
L00353,C02661,2024-02-24,56697,A
L00354,C03125,2024-12-26,28149,C
L00355,C03052,2025-12-08,21737,A
L00356,C00005,2025-03-28,72854,A
L00357,C04870,2025-07-06,30314,B
L00358,C00877,2025-11-15,173443,C
L00359,C00992,2024-11-25,160702,A
L00360,C04143,2024-08-06,187308,B
L00361,C04365,2024-07-26,97214,A
L00362,C04466,2025-10-31,30099,A
L00363,C00636,2024-03-25,102170,C
L00364,C01694,2025-11-15,263744,B
L00365,C01683,2024-09-01,219493,C
L00366,C04753,2025-11-15,264820,B
L00367,C00120,2024-11-30,174170,A
L00368,C00831,2024-07-30,163945,B
L00369,C03676,2025-08-18,159630,D
L00370,C01370,2025-11-15,196195,A
L00371,C00741,2024-07-01,35518,B
L00372,C00117,2024-05-12,57763,B
L00373,C02839,2024-12-15,210788,A
L00374,C01151,2024-10-08,64172,C
L00375,C01932,2024-10-19,218203,B
L00376,C01013,2024-09-25,229330,A
L00377,C01665,2024-07-15,249849,A
L00378,C01082,2025-06-20,147953,D
L00379,C04730,2025-10-14,283963,A
L00380,C00513,2024-01-20,97013,B
L00381,C02850,2025-12-13,164827,C
L00382,C00560,2025-02-08,30811,A
L00383,C03673,2024-04-24,66196,D
L00384,C04584,2025-12-01,118100,B
L00385,C04993,2024-01-26,25656,B
L00386,C03344,2025-07-19,162454,B
L00387,C04071,2025-11-12,167103,C
L00388,C04800,2025-01-29,207421,D
L00389,C01471,2025-01-15,65574,A
L00390,C00581,2025-06-06,62529,B
L00391,C02295,2025-06-22,157884,A
L00392,C03148,2024-03-23,111741,A
L00393,C04250,2025-07-03,101060,A
L00394,C01680,2025-03-20,12160,C
L00395,C03507,2024-03-27,177415,D
L00396,C02745,2025-01-21,28593,C
L00397,C03357,2025-10-29,136356,B
L00398,C04046,2025-02-01,173923,C
L00399,C01244,2024-10-12,25378,C
L00400,C03119,2025-11-28,144563,B
L00401,C02142,2025-11-24,268603,D
L00402,C03060,2025-01-03,24305,A
L00403,C04549,2025-10-16,171373,A
L00404,C02960,2025-02-25,168764,A
L00405,C02266,2025-12-18,175419,A
L00406,C02480,2025-10-15,153261,B
L00407,C04647,2025-11-27,143667,D
L00408,C01636,2025-03-18,69370,B
L00409,C01758,2025-06-03,269065,B
L00410,C04453,2025-08-06,108276,A
L00411,C02071,2024-10-14,263741,B
L00412,C02850,2024-04-04,7387,A
L00413,C03252,2025-10-30,236372,B
L00414,C03731,2024-02-10,9825,C
L00415,C02490,2024-11-26,10282,B
L00416,C01632,2024-06-03,20451,B
L00417,C02817,2025-05-18,257622,C
L00418,C01016,2024-10-01,243006,A
L00419,C01349,2025-10-27,153977,B
L00420,C04612,2025-07-18,235727,D
L00421,C03088,2024-06-27,138770,D
L00422,C02840,2024-05-16,152964,A
L00423,C00336,2024-06-28,263298,B
L00424,C04593,2024-06-30,53068,A
L00425,C00896,2024-09-15,239686,A
L00426,C03547,2024-08-30,76726,B
L00427,C00852,2024-04-05,237198,B
L00428,C01688,2024-07-15,36604,C
L00429,C01932,2025-06-09,119751,A
L00430,C03747,2025-09-23,48787,D
L00431,C02428,2025-01-21,299179,B
L00432,C01569,2025-02-11,39844,B
L00433,C04001,2024-09-25,283964,B
L00434,C02739,2024-06-19,224077,D
L00435,C03499,2025-08-06,238033,D
L00436,C03914,2025-11-21,136807,B
L00437,C01067,2024-06-18,28968,B
L00438,C04381,2024-06-07,60746,B
L00439,C02445,2025-05-23,129458,A
L00440,C04108,2025-03-22,219068,A
L00441,C03374,2025-10-27,212080,B
L00442,C03970,2024-03-22,197711,B
L00443,C02547,2024-02-26,22057,A
L00444,C00754,2025-06-02,259888,B
L00445,C02083,2024-04-21,19432,B
L00446,C02775,2024-02-17,66488,B
L00447,C02897,2025-08-14,104199,C
L00448,C04186,2025-01-10,23953,A
L00449,C00776,2024-02-02,261039,C
L00450,C01626,2025-05-18,218905,B
L00451,C03070,2025-09-18,120864,A
L00452,C00418,2024-01-03,208304,C
L00453,C00115,2025-04-30,34347,B
L00454,C00617,2025-05-30,26249,B
L00455,C03975,2024-02-11,221265,B
L00456,C03268,2024-01-09,118346,D
L00457,C00826,2025-10-18,116086,D
L00458,C01517,2025-08-31,236832,D
L00459,C03147,2024-05-21,285177,C
L00460,C00413,2025-03-11,40088,A
L00461,C00729,2024-01-27,114001,B
L00462,C03349,2024-02-12,284671,C
L00463,C02809,2024-05-10,221306,C
L00464,C00676,2024-08-03,271550,B
L00465,C03466,2025-08-28,99538,C
L00466,C02505,2025-06-03,209199,A
L00467,C02968,2025-08-20,139191,B
L00468,C02787,2024-12-10,252160,B
L00469,C01123,2025-05-22,63935,B
L00470,C04080,2025-10-11,258959,C
L00471,C01572,2025-02-16,63327,D
L00472,C02144,2024-09-02,223481,A
L00473,C01688,2025-03-24,106815,C
L00474,C04133,2024-01-21,102196,B
L00475,C03852,2025-02-11,112396,B
L00476,C03441,2025-04-01,15370,B
L00477,C03767,2025-03-19,106075,D
L00478,C02327,2024-09-21,136185,B
L00479,C02915,2025-10-21,145786,A
L00480,C04969,2024-07-02,139482,B
L00481,C03953,2024-08-14,79772,A
L00482,C00596,2025-07-01,125527,A
L00483,C00729,2024-09-02,291752,A
L00484,C01366,2024-03-13,275468,B
L00485,C04493,2024-05-29,81695,A
L00486,C00699,2025-05-27,177057,A
L00487,C00396,2024-03-09,102643,C
L00488,C04172,2024-08-17,233443,B
L00489,C04361,2025-12-23,14453,B
L00490,C02503,2024-03-12,105369,C
L00491,C01820,2025-08-30,101544,B
L00492,C00718,2025-01-31,202658,C
L00493,C02783,2024-03-24,292536,A
L00494,C04947,2024-10-25,168249,B
L00495,C03578,2024-10-19,191254,C
L00496,C00144,2024-08-10,263155,A
L00497,C04981,2024-08-03,241492,B
L00498,C03141,2024-08-18,63081,B
L00499,C04492,2025-02-08,57754,B
L00500,C02939,2024-06-17,11878,C
L00501,C03637,2024-11-24,5792,A
L00502,C03223,2025-03-01,16367,C
L00503,C01168,2025-07-07,43731,B
L00504,C02617,2024-07-14,276691,A
L00505,C01063,2025-08-30,33568,B
L00506,C02157,2025-06-09,55212,C
L00507,C02983,2025-09-16,178403,A
L00508,C03295,2024-03-17,140210,C
L00509,C04730,2024-10-03,183184,A
L00510,C01157,2025-04-10,209301,C
L00511,C00733,2025-03-23,147466,A
L00512,C04331,2024-11-15,175167,A
L00513,C04847,2024-06-08,60121,A
L00514,C00954,2025-05-06,282349,C
L00515,C02540,2024-11-08,140700,B
L00516,C03325,2025-09-22,57600,B
L00517,C03302,2024-06-09,98159,C
L00518,C01543,2024-11-03,130590,A
L00519,C01192,2024-05-25,63844,A
L00520,C02994,2025-11-05,183121,B
L00521,C02682,2025-01-30,26433,B
L00522,C01218,2025-11-21,250828,A
L00523,C01541,2024-03-29,97060,B
L00524,C03237,2024-11-03,148165,A
L00525,C02387,2025-06-29,254268,A
L00526,C03720,2025-01-05,283828,A
L00527,C01389,2025-03-26,250363,A
L00528,C01857,2024-06-15,196393,B
L00529,C01366,2025-01-26,126485,A
L00530,C00500,2025-09-28,220592,A
L00531,C01681,2025-05-05,56305,C
L00532,C00511,2024-05-29,150979,C
L00533,C04313,2025-04-12,90938,C
L00534,C01325,2025-12-01,182866,B
L00535,C01156,2024-02-12,77610,B
L00536,C01828,2024-01-29,296474,B
L00537,C03142,2025-09-23,131908,D
L00538,C03487,2024-01-31,70037,C
L00539,C01811,2025-11-23,73337,B
L00540,C02924,2025-11-04,33831,B
L00541,C02215,2024-05-07,152919,C
L00542,C04187,2024-10-20,268141,A
L00543,C00714,2025-03-16,158097,D
L00544,C03603,2025-01-22,278342,B
L00545,C04135,2025-10-03,170518,B
L00546,C03523,2025-06-07,14382,A
L00547,C04269,2025-06-30,29120,A
L00548,C04749,2025-12-10,294094,A
L00549,C04850,2024-04-19,259816,A
L00550,C01244,2024-11-23,282879,B
L00551,C03710,2025-02-08,110846,A
L00552,C01082,2024-09-01,107733,D
L00553,C00456,2024-06-11,151434,B
L00554,C04925,2025-07-13,28409,A
L00555,C00895,2025-02-02,121909,B
L00556,C01385,2025-08-05,84987,A
L00557,C01959,2025-02-02,272958,C
L00558,C03073,2025-05-07,158960,B
L00559,C01997,2025-10-07,27169,A
L00560,C04286,2024-08-26,256979,A
L00561,C00505,2025-04-09,217196,A
L00562,C01215,2025-08-02,151649,B
L00563,C01532,2024-02-01,25931,B
L00564,C03441,2024-05-02,80506,B
L00565,C00824,2025-06-17,175350,C
L00566,C00929,2025-10-28,221653,C
L00567,C00134,2024-04-19,249381,B
L00568,C02106,2024-09-27,217527,C
L00569,C03628,2025-01-14,114865,A
L00570,C04781,2024-10-26,142130,B
L00571,C01853,2025-09-18,263514,A
L00572,C04911,2024-09-05,73866,A
L00573,C04176,2025-06-04,104978,B
L00574,C02934,2024-02-03,191252,C
L00575,C03285,2024-08-15,79514,A
L00576,C04299,2025-08-07,151336,A
L00577,C02812,2025-02-02,31615,D
L00578,C01251,2025-12-24,117898,A
L00579,C03513,2025-08-06,170952,A
L00580,C01257,2025-07-23,220202,A
L00581,C03377,2024-08-07,268845,B
L00582,C03487,2025-01-05,64430,B
L00583,C03585,2025-06-11,106016,A
L00584,C01397,2024-03-15,97519,B
L00585,C03638,2025-09-09,249035,B
L00586,C03331,2024-05-15,39378,B
L00587,C02704,2024-03-14,156808,D
L00588,C00471,2024-09-10,142415,A
L00589,C01354,2024-01-18,20797,D
L00590,C02784,2024-02-12,112623,C
L00591,C02832,2024-02-19,177195,B
L00592,C00358,2025-05-29,210936,C
L00593,C03020,2025-12-31,135596,B
L00594,C00668,2025-07-24,136177,C
L00595,C04469,2025-07-29,99906,B
L00596,C01146,2025-08-04,91379,A
L00597,C04186,2024-10-29,286620,B
L00598,C03720,2024-05-21,200219,A
L00599,C02746,2024-07-20,178184,A
L00600,C00540,2024-07-25,180302,B
L00601,C02780,2025-02-18,46706,D
L00602,C04965,2024-08-08,70032,B
L00603,C04137,2024-12-27,177992,C
L00604,C04836,2024-03-21,155947,A
L00605,C03776,2025-07-16,188201,B
L00606,C02509,2024-10-11,70744,C
L00607,C02780,2025-01-03,155772,A
L00608,C00925,2025-05-06,208841,A
L00609,C02957,2024-12-11,137963,C
L00610,C01582,2024-07-22,52594,B
L00611,C03325,2024-01-25,286817,B
L00612,C04486,2025-07-06,47412,D
L00613,C00256,2024-03-09,241021,D
L00614,C04805,2025-05-30,124449,C
L00615,C01839,2025-05-06,164508,C
L00616,C01945,2024-08-27,144258,A
L00617,C00010,2024-12-26,5434,A
L00618,C02872,2025-03-16,146591,D
L00619,C00798,2024-01-31,285174,B
L00620,C04973,2025-09-20,272402,B
L00621,C01016,2025-12-07,247330,A
L00622,C01825,2025-08-24,77726,C
L00623,C04470,2025-11-20,224087,A
L00624,C03137,2025-10-18,126563,A
L00625,C02194,2025-12-14,222435,A
L00626,C00224,2024-11-17,249972,C
L00627,C04949,2024-12-09,63277,C
L00628,C04159,2025-12-15,15747,B
L00629,C03926,2025-06-19,166989,A
L00630,C04785,2024-12-20,35377,C
L00631,C04001,2025-04-15,129026,D
L00632,C01634,2024-04-14,111017,A
L00633,C02153,2024-11-17,103684,C
L00634,C00511,2025-07-25,290701,D
L00635,C00385,2025-06-10,180407,A
L00636,C00405,2025-05-18,214087,A
L00637,C04614,2024-03-25,94463,D
L00638,C04572,2025-12-09,38292,A
L00639,C02001,2024-08-22,286635,A
L00640,C02757,2024-09-19,71629,C
L00641,C01669,2024-01-06,285267,B
L00642,C01461,2025-05-08,228544,B
L00643,C03637,2024-10-15,69618,C
L00644,C02725,2025-07-23,29288,B
L00645,C04810,2025-10-18,113850,A
L00646,C04179,2025-07-07,94947,A
L00647,C02049,2024-12-15,50091,B
L00648,C04147,2024-07-18,135180,C
L00649,C04781,2025-11-16,122622,D
L00650,C00717,2024-11-30,195288,B
L00651,C04545,2025-08-29,194857,A
L00652,C04977,2024-08-04,187069,D
L00653,C04584,2025-09-14,151977,A
L00654,C01824,2024-12-18,268735,A
L00655,C02082,2025-11-22,65159,C
L00656,C03420,2025-11-05,149594,B
L00657,C01575,2025-09-22,135656,A
L00658,C00250,2024-11-20,238448,D
L00659,C00674,2024-08-15,139644,D
L00660,C04534,2024-05-24,197752,A
L00661,C02166,2024-11-03,240354,C
L00662,C00771,2025-10-15,38061,B
L00663,C03963,2025-09-25,223850,A
L00664,C04364,2024-10-11,283295,D
L00665,C01985,2025-01-26,97526,A
L00666,C01078,2024-12-25,188699,A
L00667,C00236,2024-06-13,118417,A
L00668,C00389,2025-08-03,161555,B
L00669,C03038,2024-08-11,154949,A
L00670,C04859,2024-05-03,228311,C
L00671,C01849,2024-12-09,8088,B
L00672,C04720,2025-06-07,240657,A
L00673,C02815,2024-02-21,159251,B
L00674,C03375,2024-05-08,52954,B
L00675,C03279,2024-05-14,289155,A
L00676,C01253,2025-10-18,17839,A
L00677,C03982,2024-05-06,254750,B
L00678,C04674,2024-03-11,188975,A
L00679,C02123,2024-09-29,28625,C
L00680,C04531,2024-07-05,154553,A
L00681,C02151,2024-01-03,24558,B
L00682,C04860,2024-10-11,87307,B
L00683,C01330,2024-01-22,36104,B
L00684,C01359,2024-06-14,189658,A
L00685,C02483,2024-11-05,49420,A
L00686,C04543,2025-04-21,271205,A
L00687,C02018,2025-05-12,169313,B
L00688,C01332,2025-03-09,67055,A
L00689,C04345,2024-08-21,217769,A
L00690,C04262,2025-10-31,180245,A
L00691,C01359,2025-10-24,243016,C
L00692,C04638,2025-12-25,7221,D
L00693,C04855,2025-01-10,288779,C
L00694,C03178,2025-12-30,188835,B
L00695,C02129,2024-09-02,274219,A
L00696,C02181,2024-10-29,158450,B
