LoanID,missing_PD,missing_LGD,missing_EAD,negative_saldo,negative_importe_aprobado,inconsistent_provision,missing_centro_costo,any_quality_issue
L00151,False,False,False,False,False,False,False,False
L00152,False,False,False,False,False,False,False,False
L00153,False,False,False,False,False,False,False,False
L00154,False,False,False,False,False,False,False,False
L00155,False,False,False,False,False,False,False,False
L00156,False,False,False,False,False,False,False,False
L00157,False,False,False,False,False,False,False,False
L00158,False,False,False,False,False,False,False,False
L00159,False,False,False,False,False,False,False,False
L00160,False,False,False,False,False,False,False,False
L00161,False,False,False,False,False,False,False,False
L00162,False,False,False,False,False,False,False,False
L00163,False,False,False,False,False,False,False,False
L00164,False,False,False,False,False,False,False,False
L00165,False,False,False,False,False,False,False,False
L00166,False,False,False,False,False,False,False,False
L00167,False,False,False,False,False,False,False,False
L00168,False,False,False,False,False,False,False,False
L00169,False,False,False,False,False,False,False,False
L00170,False,False,False,False,False,False,False,False
L00171,False,False,False,False,False,False,False,False
L00172,False,False,False,False,False,False,False,False
L00173,False,False,False,False,False,False,False,False
L00174,False,False,False,False,False,False,False,False
L00175,False,False,False,False,False,False,False,False
L00176,False,False,False,False,False,False,False,False
L00177,False,False,False,False,False,False,False,False
L00178,False,False,False,False,False,False,False,False
L00179,False,False,False,False,False,False,False,False
L00180,False,False,False,False,False,False,False,False
L00181,False,False,False,False,False,False,False,False
L00182,False,False,False,False,False,False,False,False
L00183,False,False,False,False,False,False,False,False
L00184,False,False,False,False,False,False,False,False
L00185,False,False,False,False,False,False,False,False
L00186,False,False,False,False,False,False,False,False
L00187,False,False,False,False,False,False,False,False
L00188,False,False,False,False,False,False,False,False
L00189,False,False,False,False,False,False,False,False
L00190,False,False,False,False,False,False,False,False
L00191,False,False,False,False,False,False,False,False
L00192,False,False,False,False,False,False,False,False
L00193,False,False,False,False,False,False,False,False
L00194,False,False,False,False,False,False,False,False
L00195,False,False,False,False,False,False,False,False
L00196,False,False,False,False,False,False,False,False
L00197,False,False,False,False,False,False,False,False
L00198,False,False,False,False,False,False,False,False
L00199,False,False,False,False,False,False,False,False
L00200,False,False,False,False,False,False,False,False
L00201,False,False,False,False,False,False,False,False
L00202,False,False,False,False,False,False,False,False
L00203,False,False,False,False,False,False,False,False
L00204,False,False,False,False,False,False,False,False
L00205,False,False,False,False,False,False,False,False
L00206,False,False,False,False,False,False,False,False
L00207,False,False,False,False,False,False,False,False
L00208,False,False,False,False,False,False,False,False
L00209,False,False,False,False,False,False,False,False
L00210,False,False,False,False,False,False,False,False
L00211,False,False,False,False,False,False,False,False
L00212,False,False,False,False,False,False,False,False
L00213,False,False,False,False,False,False,False,False
L00214,False,False,False,False,False,False,False,False
L00215,False,False,False,False,False,False,False,False
L00216,False,False,False,False,False,False,False,False
L00217,False,False,False,False,False,False,False,False
L00218,False,False,False,False,False,False,False,False
L00219,False,False,False,False,False,False,False,False
L00220,False,False,False,False,False,False,False,False
L00221,False,False,False,False,False,False,False,False
L00222,False,False,False,False,False,False,False,False
L00223,False,False,False,False,False,False,False,False
L00224,False,False,False,False,False,False,False,False
L00225,False,False,False,False,False,False,False,False
L00226,False,False,False,False,False,False,False,False
L00227,False,False,False,False,False,False,False,False
L00228,False,False,False,False,False,False,False,False
L00229,False,False,False,False,False,False,False,False
L00230,False,False,False,False,False,False,False,False
L00231,False,False,False,False,False,False,False,False
L00232,False,False,False,False,False,False,False,False
L00233,False,False,False,False,False,False,False,False
L00234,False,False,False,False,False,False,False,False
L00235,False,False,False,False,False,False,False,False
L00236,False,False,False,False,False,False,False,False
L00237,False,False,False,False,False,False,False,False
L00238,False,False,False,False,False,False,False,False
L00239,False,False,False,False,False,False,False,False
L00240,False,False,False,False,False,False,False,False
L00241,False,False,False,False,False,False,False,False
L00242,False,False,False,False,False,False,False,False
L00243,False,False,False,False,False,False,False,False
L00244,False,False,False,False,False,False,False,False
L00245,False,False,False,False,False,False,False,False
L00246,False,False,False,False,False,False,False,False
L00247,False,False,False,False,False,False,False,False
L00248,False,False,False,False,False,False,False,False
L00249,False,False,False,False,False,False,False,False
L00250,False,False,False,False,False,False,False,False
L00251,False,False,False,False,False,False,False,False
L00252,False,False,False,False,False,False,False,False
L00253,False,False,False,False,False,False,False,False
L00254,False,False,False,False,False,False,False,False
L00255,False,False,False,False,False,False,False,False
L00256,False,False,False,False,False,False,False,False
L00257,False,False,False,False,False,False,False,False
L00258,False,False,False,False,False,False,False,False
L00259,False,False,False,False,False,False,False,False
L00260,False,False,False,False,False,False,False,False
L00261,False,False,False,False,False,False,False,False
L00262,False,False,False,False,False,False,False,False
L00263,False,False,False,False,False,False,False,False
L00264,False,False,False,False,False,False,False,False
L00265,False,False,False,False,False,False,False,False
L00266,False,False,False,False,False,False,False,False
L00267,False,False,False,False,False,False,False,False
L00268,False,False,False,False,False,False,False,False
L00269,False,False,False,False,False,False,False,False
L00270,False,False,False,False,False,False,False,False
L00271,False,False,False,False,False,False,False,False
L00272,False,False,False,False,False,False,False,False
L00273,False,False,False,False,False,False,False,False
L00274,False,False,False,False,False,False,False,False
L00275,False,False,False,False,False,False,False,False
L00276,False,False,False,False,False,False,False,False
L00277,False,False,False,False,False,False,False,False
L00278,False,False,False,False,False,False,False,False
L00279,False,False,False,False,False,False,False,False
L00280,False,False,False,False,False,False,False,False
L00281,False,False,False,False,False,False,False,False
L00282,False,False,False,False,False,False,False,False
L00283,False,False,False,False,False,False,False,False
L00284,False,False,False,False,False,False,False,False
L00285,False,False,False,False,False,False,False,False
L00286,False,False,False,False,False,False,False,False
L00287,False,False,False,False,False,False,False,False
L00288,False,False,False,False,False,False,False,False
L00289,False,False,False,False,False,False,False,False
L00290,False,False,False,False,False,False,False,False
L00291,False,False,False,False,False,False,False,False
L00292,False,False,False,False,False,False,False,False
L00293,False,False,False,False,False,False,False,False
L00294,False,False,False,False,False,False,False,False
L00295,False,False,False,False,False,False,False,False
L00296,False,False,False,False,False,False,False,False
L00297,False,False,False,False,False,False,False,False
L00298,False,False,False,False,False,False,False,False
L00299,False,False,False,False,False,False,False,False
L00300,False,False,False,False,False,False,False,False
L00301,False,False,False,False,False,False,False,False
L00302,False,False,False,False,False,False,False,False
L00303,False,False,False,False,False,False,False,False
L00304,False,False,False,False,False,False,False,False
L00305,False,False,False,False,False,False,False,False
L00306,False,False,False,False,False,False,False,False
L00307,False,False,False,False,False,False,False,False
L00308,False,False,False,False,False,False,False,False
L00309,False,False,False,False,False,False,False,False
L00310,False,False,False,False,False,False,False,False
L00311,False,False,False,False,False,False,False,False
L00312,False,False,False,False,False,False,False,False
L00313,False,False,False,False,False,False,False,False
L00314,False,False,False,False,False,False,False,False
L00315,False,False,False,False,False,False,False,False
L00316,False,False,False,False,False,False,False,False
L00317,False,False,False,False,False,False,False,False
L00318,False,False,False,False,False,False,False,False
L00319,False,False,False,False,False,False,False,False
L00320,False,False,False,False,False,False,False,False
L00321,False,False,False,False,False,False,False,False
L00322,False,False,False,False,False,False,False,False
L00323,False,False,False,False,False,False,False,False
L00324,False,False,False,False,False,False,False,False
L00325,False,False,False,False,False,False,False,False
L00326,False,False,False,False,False,False,False,False
L00327,False,False,False,False,False,False,False,False
L00328,False,False,False,False,False,False,False,False
L00329,False,False,False,False,False,False,False,False
L00330,False,False,False,False,False,False,False,False
L00331,False,False,False,False,False,False,False,False
L00332,False,False,False,False,False,False,False,False
L00333,False,False,False,False,False,False,False,False
L00334,False,False,False,False,False,False,False,False
L00335,False,False,False,False,False,False,False,False
L00336,False,False,False,False,False,False,False,False
L00337,False,False,False,False,False,False,False,False
L00338,False,False,False,False,False,False,False,False
L00339,False,False,False,False,False,False,False,False
L00340,False,False,False,False,False,False,False,False
L00341,False,False,False,False,False,False,False,False
L00342,False,False,False,False,False,False,False,False
L00343,False,False,False,False,False,False,False,False
L00344,False,False,False,False,False,False,False,False
L00345,False,False,False,False,False,False,False,False
L00346,False,False,False,False,False,False,False,False
L00347,False,False,False,False,False,False,False,False
L00348,False,False,False,False,False,False,False,False
L00349,False,False,False,False,False,False,False,False
L00350,False,False,False,False,False,False,False,False
L00351,False,False,False,False,False,False,False,False
L00352,False,False,False,False,False,False,False,False
L00353,False,False,False,False,False,False,False,False
L00354,False,False,False,False,False,False,False,False
L00355,False,False,False,False,False,False,False,False
L00356,False,False,False,False,False,False,False,False
L00357,False,False,False,False,False,False,False,False
L00358,False,False,False,False,False,False,False,False
L00359,False,False,False,False,False,False,False,False
L00360,False,False,False,False,False,False,False,False
L00361,False,False,False,False,False,False,False,False
L00362,False,False,False,False,False,False,False,False
L00363,False,False,False,False,False,False,False,False
L00364,False,False,False,False,False,False,False,False
L00365,False,False,False,False,False,False,False,False
L00366,False,False,False,False,False,False,False,False
L00367,False,False,False,False,False,False,False,False
L00368,False,False,False,False,False,False,False,False
L00369,False,False,False,False,False,False,False,False
L00370,False,False,False,False,False,False,False,False
L00371,False,False,False,False,False,False,False,False
L00372,False,False,False,False,False,False,False,False
L00373,False,False,False,False,False,False,False,False
L00374,False,False,False,False,False,False,False,False
L00375,False,False,False,False,False,False,False,False
L00376,False,False,False,False,False,False,False,False
L00377,False,False,False,False,False,False,False,False
L00378,False,False,False,False,False,False,False,False
L00379,False,False,False,False,False,False,False,False
L00380,False,False,False,False,False,False,False,False
L00381,False,False,False,False,False,False,False,False
L00382,False,False,False,False,False,False,False,False
L00383,False,False,False,False,False,False,False,False
L00384,False,False,False,False,False,False,False,False
L00385,False,False,False,False,False,False,False,False
L00386,False,False,False,False,False,False,False,False
L00387,False,False,False,False,False,False,False,False
L00388,False,False,False,False,False,False,False,False
L00389,False,False,False,False,False,False,False,False
L00390,False,False,False,False,False,False,False,False
L00391,False,False,False,False,False,False,False,False
L00392,False,False,False,False,False,False,False,False
L00393,False,False,False,False,False,False,False,False
L00394,False,False,False,False,False,False,False,False
L00395,False,False,False,False,False,False,False,False
L00396,False,False,False,False,False,False,False,False
L00397,False,False,False,False,False,False,False,False
L00398,False,False,False,False,False,False,False,False
L00399,False,False,False,False,False,False,False,False
L00400,False,False,False,False,False,False,False,False
L00401,False,False,False,False,False,False,False,False
L00402,False,False,False,False,False,False,False,False
L00403,False,False,False,False,False,False,False,False
L00404,False,False,False,False,False,False,False,False
L00405,False,False,False,False,False,False,False,False
L00406,False,False,False,False,False,False,False,False
L00407,False,False,False,False,False,False,False,False
L00408,False,False,False,False,False,False,False,False
L00409,False,False,False,False,False,False,False,False
L00410,False,False,False,False,False,False,False,False
L00411,False,False,False,False,False,False,False,False
L00412,False,False,False,False,False,False,False,False
L00413,False,False,False,False,False,False,False,False
L00414,False,False,False,False,False,False,False,False
L00415,False,False,False,False,False,False,False,False
L00416,False,False,False,False,False,False,False,False
L00417,False,False,False,False,False,False,False,False
L00418,False,False,False,False,False,False,False,False
L00419,False,False,False,False,False,False,False,False
L00420,False,False,False,False,False,False,False,False
L00421,False,False,False,False,False,False,False,False
L00422,False,False,False,False,False,False,False,False
L00423,False,False,False,False,False,False,False,False
L00424,False,False,False,False,False,False,False,False
L00425,False,False,False,False,False,False,False,False
L00426,False,False,False,False,False,False,False,False
L00427,False,False,False,False,False,False,False,False
L00428,False,False,False,False,False,False,False,False
L00429,False,False,False,False,False,False,False,False
L00430,False,False,False,False,False,False,False,False
L00431,False,False,False,False,False,False,False,False
L00432,False,False,False,False,False,False,False,False
L00433,False,False,False,False,False,False,False,False
L00434,False,False,False,False,False,False,False,False
L00435,False,False,False,False,False,False,False,False
L00436,False,False,False,False,False,False,False,False
L00437,False,False,False,False,False,False,False,False
L00438,False,False,False,False,False,False,False,False
L00439,False,False,False,False,False,False,False,False
L00440,False,False,False,False,False,False,False,False
L00441,False,False,False,False,False,False,False,False
L00442,False,False,False,False,False,False,False,False
L00443,False,False,False,False,False,False,False,False
L00444,False,False,False,False,False,False,False,False
L00445,False,False,False,False,False,False,False,False
L00446,False,False,False,False,False,False,False,False
L00447,False,False,False,False,False,False,False,False
L00448,False,False,False,False,False,False,False,False
L00449,False,False,False,False,False,False,False,False
L00450,False,False,False,False,False,False,False,False
L00451,False,False,False,False,False,False,False,False
L00452,False,False,False,False,False,False,False,False
L00453,False,False,False,False,False,False,False,False
L00454,False,False,False,False,False,False,False,False
L00455,False,False,False,False,False,False,False,False
L00456,False,False,False,False,False,False,False,False
L00457,False,False,False,False,False,False,False,False
L00458,False,False,False,False,False,False,False,False
L00459,False,False,False,False,False,False,False,False
L00460,False,False,False,False,False,False,False,False
L00461,False,False,False,False,False,False,False,False
L00462,False,False,False,False,False,False,False,False
L00463,False,False,False,False,False,False,False,False
L00464,False,False,False,False,False,False,False,False
L00465,False,False,False,False,False,False,False,False
L00466,False,False,False,False,False,False,False,False
L00467,False,False,False,False,False,False,False,False
L00468,False,False,False,False,False,False,False,False
L00469,False,False,False,False,False,False,False,False
L00470,False,False,False,False,False,False,False,False
L00471,False,False,False,False,False,False,False,False
L00472,False,False,False,False,False,False,False,False
L00473,False,False,False,False,False,False,False,False
L00474,False,False,False,False,False,False,False,False
L00475,False,False,False,False,False,False,False,False
L00476,False,False,False,False,False,False,False,False
L00477,False,False,False,False,False,False,False,False
L00478,False,False,False,False,False,False,False,False
L00479,False,False,False,False,False,False,False,False
L00480,False,False,False,False,False,False,False,False
L00481,False,False,False,False,False,False,False,False
L00482,False,False,False,False,False,False,False,False
L00483,False,False,False,False,False,False,False,False
L00484,False,False,False,False,False,False,False,False
L00485,False,False,False,False,False,False,False,False
L00486,False,False,False,False,False,False,False,False
L00487,False,False,False,False,False,False,False,False
L00488,False,False,False,False,False,False,False,False
L00489,False,False,False,False,False,False,False,False
L00490,False,False,False,False,False,False,False,False
L00491,False,False,False,False,False,False,False,False
L00492,False,False,False,False,False,False,False,False
L00493,False,False,False,False,False,False,False,False
L00494,False,False,False,False,False,False,False,False
L00495,False,False,False,False,False,False,False,False
L00496,False,False,False,False,False,False,False,False
L00497,False,False,False,False,False,False,False,False
L00498,False,False,False,False,False,False,False,False
L00499,False,False,False,False,False,False,False,False
L00500,False,False,False,False,False,False,False,False
L00501,False,False,False,False,False,False,False,False
L00502,False,False,False,False,False,False,False,False
L00503,False,False,False,False,False,False,False,False
L00504,False,False,False,False,False,False,False,False
L00505,False,False,False,False,False,False,False,False
L00506,False,False,False,False,False,False,False,False
L00507,False,False,False,False,False,False,False,False
L00508,False,False,False,False,False,False,False,False
L00509,False,False,False,False,False,False,False,False
L00510,False,False,False,False,False,False,False,False
L00511,False,False,False,False,False,False,False,False
L00512,False,False,False,False,False,False,False,False
L00513,False,False,False,False,False,False,False,False
L00514,False,False,False,False,False,False,False,False
L00515,False,False,False,False,False,False,False,False
L00516,False,False,False,False,False,False,False,False
L00517,False,False,False,False,False,False,False,False
L00518,False,False,False,False,False,False,False,False
L00519,False,False,False,False,False,False,False,False
L00520,False,False,False,False,False,False,False,False
L00521,False,False,False,False,False,False,False,False
L00522,False,False,False,False,False,False,False,False
L00523,False,False,False,False,False,False,False,False
L00524,False,False,False,False,False,False,False,False
L00525,False,False,False,False,False,False,False,False
L00526,False,False,False,False,False,False,False,False
L00527,False,False,False,False,False,False,False,False
L00528,False,False,False,False,False,False,False,False
L00529,False,False,False,False,False,False,False,False
L00530,False,False,False,False,False,False,False,False
L00531,False,False,False,False,False,False,False,False
L00532,False,False,False,False,False,False,False,False
L00533,False,False,False,False,False,False,False,False
L00534,False,False,False,False,False,False,False,False
L00535,False,False,False,False,False,False,False,False
L00536,False,False,False,False,False,False,False,False
L00537,False,False,False,False,False,False,False,False
L00538,False,False,False,False,False,False,False,False
L00539,False,False,False,False,False,False,False,False
L00540,False,False,False,False,False,False,False,False
L00541,False,False,False,False,False,False,False,False
L00542,False,False,False,False,False,False,False,False
L00543,False,False,False,False,False,False,False,False
L00544,False,False,False,False,False,False,False,False
L00545,False,False,False,False,False,False,False,False
L00546,False,False,False,False,False,False,False,False
L00547,False,False,False,False,False,False,False,False
L00548,False,False,False,False,False,False,False,False
L00549,False,False,False,False,False,False,False,False
L00550,False,False,False,False,False,False,False,False
L00551,False,False,False,False,False,False,False,False
L00552,False,False,False,False,False,False,False,False
L00553,False,False,False,False,False,False,False,False
L00554,False,False,False,False,False,False,False,False
L00555,False,False,False,False,False,False,False,False
L00556,False,False,False,False,False,False,False,False
L00557,False,False,False,False,False,False,False,False
L00558,False,False,False,False,False,False,False,False
L00559,False,False,False,False,False,False,False,False
L00560,False,False,False,False,False,False,False,False
L00561,False,False,False,False,False,False,False,False
L00562,False,False,False,False,False,False,False,False
L00563,False,False,False,False,False,False,False,False
L00564,False,False,False,False,False,False,False,False
L00565,False,False,False,False,False,False,False,False
L00566,False,False,False,False,False,False,False,False
L00567,False,False,False,False,False,False,False,False
L00568,False,False,False,False,False,False,False,False
L00569,False,False,False,False,False,False,False,False
L00570,False,False,False,False,False,False,False,False
L00571,False,False,False,False,False,False,False,False
L00572,False,False,False,False,False,False,False,False
L00573,False,False,False,False,False,False,False,False
L00574,False,False,False,False,False,False,False,False
L00575,False,False,False,False,False,False,False,False
L00576,False,False,False,False,False,False,False,False
L00577,False,False,False,False,False,False,False,False
L00578,False,False,False,False,False,False,False,False
L00579,False,False,False,False,False,False,False,False
L00580,False,False,False,False,False,False,False,False
L00581,False,False,False,False,False,False,False,False
L00582,False,False,False,False,False,False,False,False
L00583,False,False,False,False,False,False,False,False
L00584,False,False,False,False,False,False,False,False
L00585,False,False,False,False,False,False,False,False
L00586,False,False,False,False,False,False,False,False
L00587,False,False,False,False,False,False,False,False
L00588,False,False,False,False,False,False,False,False
L00589,False,False,False,False,False,False,False,False
L00590,False,False,False,False,False,False,False,False
L00591,False,False,False,False,False,False,False,False
L00592,False,False,False,False,False,False,False,False
L00593,False,False,False,False,False,False,False,False
L00594,False,False,False,False,False,False,False,False
L00595,False,False,False,False,False,False,False,False
L00596,False,False,False,False,False,False,False,False
L00597,False,False,False,False,False,False,False,False
L00598,False,False,False,False,False,False,False,False
L00599,False,False,False,False,False,False,False,False
L00600,False,False,False,False,False,False,False,False
L00601,False,False,False,False,False,False,False,False
L00602,False,False,False,False,False,False,False,False
L00603,False,False,False,False,False,False,False,False
L00604,False,False,False,False,False,False,False,False
L00605,False,False,False,False,False,False,False,False
L00606,False,False,False,False,False,False,False,False
L00607,False,False,False,False,False,False,False,False
L00608,False,False,False,False,False,False,False,False
L00609,False,False,False,False,False,False,False,False
L00610,False,False,False,False,False,False,False,False
L00611,False,False,False,False,False,False,False,False
L00612,False,False,False,False,False,False,False,False
L00613,False,False,False,False,False,False,False,False
L00614,False,False,False,False,False,False,False,False
L00615,False,False,False,False,False,False,False,False
L00616,False,False,False,False,False,False,False,False
L00617,False,False,False,False,False,False,False,False
L00618,False,False,False,False,False,False,False,False
L00619,False,False,False,False,False,False,False,False
L00620,False,False,False,False,False,False,False,False
L00621,False,False,False,False,False,False,False,False
L00622,False,False,False,False,False,False,False,False
L00623,False,False,False,False,False,False,False,False
L00624,False,False,False,False,False,False,False,False
L00625,False,False,False,False,False,False,False,False
L00626,False,False,False,False,False,False,False,False
L00627,False,False,False,False,False,False,False,False
L00628,False,False,False,False,False,False,False,False
L00629,False,False,False,False,False,False,False,False
L00630,False,False,False,False,False,False,False,False
L00631,False,False,False,False,False,False,False,False
L00632,False,False,False,False,False,False,False,False
L00633,False,False,False,False,False,False,False,False
L00634,False,False,False,False,False,False,False,False
L00635,False,False,False,False,False,False,False,False
L00636,False,False,False,False,False,False,False,False
L00637,False,False,False,False,False,False,False,False
L00638,False,False,False,False,False,False,False,False
L00639,False,False,False,False,False,False,False,False
L00640,False,False,False,False,False,False,False,False
L00641,False,False,False,False,False,False,False,False
L00642,False,False,False,False,False,False,False,False
L00643,False,False,False,False,False,False,False,False
L00644,False,False,False,False,False,False,False,False
L00645,False,False,False,False,False,False,False,False
L00646,False,False,False,False,False,False,False,False
L00647,False,False,False,False,False,False,False,False
L00648,False,False,False,False,False,False,False,False
L00649,False,False,False,False,False,False,False,False
L00650,False,False,False,False,False,False,False,False
L00651,False,False,False,False,False,False,False,False
L00652,False,False,False,False,False,False,False,False
L00653,False,False,False,False,False,False,False,False
L00654,False,False,False,False,False,False,False,False
L00655,False,False,False,False,False,False,False,False
L00656,False,False,False,False,False,False,False,False
L00657,False,False,False,False,False,False,False,False
L00658,False,False,False,False,False,False,False,False
L00659,False,False,False,False,False,False,False,False
L00660,False,False,False,False,False,False,False,False
L00661,False,False,False,False,False,False,False,False
L00662,False,False,False,False,False,False,False,False
L00663,False,False,False,False,False,False,False,False
L00664,False,False,False,False,False,False,False,False
L00665,False,False,False,False,False,False,False,False
L00666,False,False,False,False,False,False,False,False
L00667,False,False,False,False,False,False,False,False
L00668,False,False,False,False,False,False,False,False
L00669,False,False,False,False,False,False,False,False
L00670,False,False,False,False,False,False,False,False
L00671,False,False,False,False,False,False,False,False
L00672,False,False,False,False,False,False,False,False
L00673,False,False,False,False,False,False,False,False
L00674,False,False,False,False,False,False,False,False
L00675,False,False,False,False,False,False,False,False
L00676,False,False,False,False,False,False,False,False
L00677,False,False,False,False,False,False,False,False
L00678,False,False,False,False,False,False,False,False
L00679,False,False,False,False,False,False,False,False
L00680,False,False,False,False,False,False,False,False
L00681,False,False,False,False,False,False,False,False
L00682,False,False,False,False,False,False,False,False
L00683,False,False,False,False,False,False,False,False
L00684,False,False,False,False,False,False,False,False
L00685,False,False,False,False,False,False,False,False
L00686,False,False,False,False,False,False,False,False
L00687,False,False,False,False,False,False,False,False
L00688,False,False,False,False,False,False,False,False
L00689,False,False,False,False,False,False,False,False
L00690,False,False,False,False,False,False,False,False
L00691,False,False,False,False,False,False,False,False
L00692,False,False,False,False,False,False,False,False
L00693,False,False,False,False,False,False,False,False
